id,machine_name,category,cost_metal,cost_crystal,cost_deuterium,cost_energy,cost_factor,valid_planet_types,requirements
1,metal_mine,resources,60,15,0,0,1.5,planet,
2,crystal_mine,resources,48,24,0,0,1.6,planet,
3,deuterium_synthesizer,resources,225,75,0,0,1.5,planet,
4,solar_plant,resources,75,30,0,0,1.5,planet,
12,fusion_plant,resources,900,360,180,0,1.8,planet,deuterium_synthesizer:5|energy_technology:3
22,metal_store,storage,1000,0,0,0,2,planet,
23,crystal_store,storage,1000,500,0,0,2,planet,
24,deuterium_store,storage,1000,1000,0,0,2,planet,
14,robot_factory,facilities,400,120,200,0,2,planet|moon,
15,nano_factory,facilities,1000000,500000,100000,0,2,planet,computer_technology:10|robot_factory:10
21,shipyard,facilities,400,200,100,0,2,planet|moon,robot_factory:2
31,research_lab,facilities,200,400,200,0,2,planet,
33,terraformer,facilities,0,50000,100000,1000,2,planet,nano_factory:1|energy_technology:12
34,alliance_depot,facilities,20000,40000,0,0,2,planet,
36,space_dock,facilities,200,0,50,50,2,planet,shipyard:2
44,missile_silo,facilities,20000,20000,1000,0,2,planet|moon,shipyard:1
41,lunar_base,moon,20000,40000,20000,0,2,moon,
42,sensor_phalanx,moon,20000,40000,10000,0,2,moon,lunar_base:1
43,jump_gate,moon,2000000,4000000,2000000,0,2,moon,lunar_base:1|hyperspace_technology:7
