id,machine_name,cost_metal,cost_crystal,cost_deuterium,cost_energy,cost_factor,requirements
113,energy_technology,0,800,400,0,2,research_lab:1
120,laser_technology,200,100,0,0,2,research_lab:1|energy_technology:2
121,ion_technology,1000,300,100,0,2,research_lab:4|energy_technology:4|laser_technology:5
114,hyperspace_technology,0,4000,2000,0,2,research_lab:7|energy_technology:5|shielding_technology:5
122,plasma_technology,2000,4000,1000,0,2,research_lab:4|energy_technology:8|laser_technology:10|ion_technology:5
115,combustion_drive,400,0,600,0,2,research_lab:1|energy_technology:1
117,impulse_drive,2000,4000,600,0,2,research_lab:2|energy_technology:1
118,hyperspace_drive,10000,20000,6000,0,2,research_lab:7|hyperspace_technology:3
106,espionage_technology,200,1000,200,0,2,research_lab:3
108,computer_technology,0,400,600,0,2,research_lab:1
124,astrophysics,4000,8000,4000,0,1.75,research_lab:3|impulse_drive:3|espionage_technology:4
123,intergalactic_research_network,240000,400000,160000,0,2,research_lab:10|computer_technology:8|hyperspace_technology:8
199,graviton_technology,0,0,0,300000,2,research_lab:12
109,weapon_technology,800,200,0,0,2,research_lab:4
110,shielding_technology,200,600,0,0,2,research_lab:6|energy_technology:3
111,armor_technology,1000,0,0,0,2,research_lab:2
