id,machine_name,type,cost_metal,cost_crystal,cost_deuterium,hull,shield,attack,base_speed,cargo,fuel_per_slot,requirements,rapidfire_against
202,small_cargo,civil,2000,2000,0,4000,10,5,5000,5000,10,shipyard:2|combustion_drive:2,"espionage_probe:5|solar_satellite:5|crawler:5"
203,large_cargo,civil,6000,6000,0,12000,25,5,7500,25000,50,shipyard:4|combustion_drive:6,"espionage_probe:5|solar_satellite:5|crawler:5"
208,colony_ship,civil,10000,20000,10000,30000,100,50,2500,7500,100,shipyard:4|impulse_drive:3,"espionage_probe:5|solar_satellite:5|crawler:5"
209,recycler,civil,10000,6000,2000,16000,10,1,2000,20000,300,shipyard:4|combustion_drive:6|shielding_technology:2,"espionage_probe:5|solar_satellite:5|crawler:5"
210,espionage_probe,civil,0,1000,0,1000,0,0,100000000,0,1,shipyard:3|combustion_drive:3|espionage_technology:2,
212,solar_satellite,civil,0,2000,500,2000,1,0,0,0,1,shipyard:1,
217,crawler,civil,2000,2000,1000,4000,1,1,0,0,0,shipyard:4|combustion_drive:4|armor_technology:4|laser_technology:4,
219,pathfinder,civil,8000,15000,8000,23000,100,200,12000,10000,300,shipyard:5|combustion_drive:6|shielding_technology:4|hyperspace_technology:2,"espionage_probe:5|solar_satellite:5|small_cargo:3|crawler:5"
204,light_fighter,military,3000,1000,0,4000,10,50,12500,50,20,shipyard:1|combustion_drive:1,"espionage_probe:5|solar_satellite:5|crawler:5"
205,heavy_fighter,military,6000,4000,0,10000,25,150,10000,100,75,shipyard:3|armor_technology:2|impulse_drive:2,"espionage_probe:5|solar_satellite:5|small_cargo:3|crawler:5"
206,cruiser,military,20000,7000,2000,27000,50,400,15000,800,300,shipyard:5|impulse_drive:4|ion_technology:2,"espionage_probe:5|solar_satellite:5|light_fighter:6|rocket_launcher:10|crawler:5"
207,battle_ship,military,45000,15000,0,60000,200,1000,10000,1500,500,shipyard:7|hyperspace_drive:4,"espionage_probe:5|solar_satellite:5|crawler:5"
215,battlecruiser,military,30000,40000,15000,70000,400,700,10000,750,250,shipyard:8|hyperspace_drive:5|hyperspace_technology:5|laser_technology:12,"espionage_probe:5|solar_satellite:5|heavy_fighter:4|cruiser:4|battle_ship:7|small_cargo:3|large_cargo:3|crawler:5"
211,bomber,military,50000,25000,15000,75000,500,1000,4000,500,700,shipyard:8|impulse_drive:6|plasma_technology:5,"espionage_probe:5|solar_satellite:5|rocket_launcher:20|light_laser:20|heavy_laser:10|ion_cannon:10|gauss_cannon:5|plasma_turret:5|crawler:5"
213,destroyer,military,60000,50000,15000,110000,500,2000,5000,2000,1000,shipyard:9|hyperspace_drive:6|hyperspace_technology:5,"espionage_probe:5|solar_satellite:5|light_laser:10|battlecruiser:2|crawler:5"
214,deathstar,military,5000000,4000000,1000000,9000000,50000,200000,100,1000000,1,shipyard:12|hyperspace_drive:7|hyperspace_technology:6|graviton_technology:1,"espionage_probe:250|solar_satellite:250|light_fighter:200|heavy_fighter:100|cruiser:33|battle_ship:30|bomber:25|destroyer:5|small_cargo:250|large_cargo:250|colony_ship:250|recycler:250|rocket_launcher:200|light_laser:200|heavy_laser:100|ion_cannon:100|gauss_cannon:50|battlecruiser:15|crawler:250"
218,reaper,military,85000,55000,20000,140000,700,2800,7000,10000,1100,shipyard:6|impulse_drive:6|hyperspace_drive:4|weapon_technology:8|shielding_technology:6,"espionage_probe:5|solar_satellite:5|light_fighter:4|heavy_fighter:3|small_cargo:3|large_cargo:3|crawler:5"
